|state|city|is_top_twenty|Average Commute Time|diversity_rank|colleges|QoL|Seattle|New York|San Francisco|Washington DC|Travel Time|2017 All Cities Rank|Hours Spent in Congestion|ICI|PEAK|Daytime|Overall|Transit Score|Road Length [Miles]|Highway Length [Miles]|OVERALL|Workforce|Infra-structure|Cost of Doing Business|Economy|Quality of Life|Technology and Innovation|Education|Business Friendliness|Access to Capital|Cost of Living
40|Maine|Scarborough|False|17.7168||125.0||0.0|4.0|0.0|2.0|12.0||||||||22898.0|1328.0|46.0|50.0|48.0|32.0|38.0|7.0|41.0|20.0|36.0|40.0|38.0
41|Manitoba, Canada|Winnipeg|False|0.0|||148.6|0.0|0.0|0.0|0.0|14.0|||||||50.0|||||||||||||
42|Maryland|Baltimore|False|29.5678|269.0|77.71|158.32|3.0|2.0|3.0|0.0|19.0|252.0|27.0|4.9|11.0|6.0|7.0|57.0|32147.0|2157.0|25.0|11.0|43.0|48.0|7.0|26.0|4.0|25.0|33.0|15.0|44.0
43|Maryland|Charles County|False|0.0||53.5||3.0|2.0|3.0|0.0|77.0||||||||32147.0|2157.0|25.0|11.0|43.0|48.0|7.0|26.0|4.0|25.0|33.0|15.0|44.0
44|Maryland|Montgomery County|True|0.0||40.33||3.0|2.0|3.0|0.0|46.0|||||||16.0|32147.0|2157.0|25.0|11.0|43.0|48.0|7.0|26.0|4.0|25.0|33.0|15.0|44.0
45|Maryland|Prince George&rsquo;s County|False|0.0||40.33||3.0|2.0|3.0|0.0|40.0|||||||30.0|32147.0|2157.0|25.0|11.0|43.0|48.0|7.0|26.0|4.0|25.0|33.0|15.0|44.0
46|Massachusetts|Boston|True|28.9757|19.0|60.33|177.79|3.0|7.0|5.0|5.0|14.0|19.0|60.0|10.6|23.0|12.0|14.0|73.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
47|Massachusetts|Everett|False|31.7969||50.75||3.0|7.0|5.0|5.0|15.0|169.0|31.0|5.3|21.0|7.0|11.0|38.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
48|Massachusetts|Fall River|False|23.0507|234.0|58.375||3.0|7.0|5.0|5.0|50.0|1244.0|6.0|1.3|3.0|2.0|3.0|33.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
49|Massachusetts|Foxborough|False|26.8522||65.3||3.0|7.0|5.0|5.0|44.0|||||||34.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
50|Massachusetts|Gardner|False|24.41||53.375||3.0|7.0|5.0|5.0|74.0|||||||39.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
51|Massachusetts|Holyoke|False|19.3098||61.0||3.0|7.0|5.0|5.0|91.0|||||||55.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
52|Massachusetts|Lawrence-Haverhill-Andover-Methuen-North Andover|False|27.2451||||3.0|7.0|5.0|5.0|42.0|||||||36.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
53|Massachusetts|Lee|False|16.2887||45.5||3.0|7.0|5.0|5.0|115.0||||||||36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
54|Massachusetts|Leominster|False|26.4096||53.675||3.0|7.0|5.0|5.0|64.0|||||||38.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
55|Massachusetts|Lowell-Billerica-Tewksbury|False|24.6521|30.0|||3.0|7.0|5.0|5.0|42.0|301.0|25.0|4.2|14.0|6.0|9.0|37.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
56|Massachusetts|Lynn|False|28.7144|22.0|59.0||3.0|7.0|5.0|5.0|22.0|||||||40.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
57|Massachusetts|Marlborough|False|27.059||50.75||3.0|7.0|5.0|5.0|40.0|||||||41.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
58|Massachusetts|New Bedford|False|23.594||77.0||3.0|7.0|5.0|5.0|66.0|1101.0|8.0|1.7|5.0|4.0|4.0|33.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
59|Massachusetts|Northborough|False|26.5026||52.8||3.0|7.0|5.0|5.0|42.0||||||||36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
60|Massachusetts|Peabody|False|25.6633||61.375||3.0|7.0|5.0|5.0|33.0|||||||43.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
61|Massachusetts|Pittsfield|False|17.394000000000002||45.5|||||||||||||38.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
62|Massachusetts|Quincy|False|33.4977|105.0|60.33||3.0|7.0|5.0|5.0|28.0|||||||51.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
63|Massachusetts|Somerville|False|28.5726||50.75||3.0|7.0|5.0|5.0|20.0|||||||63.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
64|Massachusetts|Springfield|False|21.0519|52.0|61.0|169.41|3.0|7.0|5.0|5.0|88.0|679.0|14.0|2.7|8.0|6.0|5.0|40.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
65|Massachusetts|Taunton|False|29.4585||65.3||3.0|7.0|5.0|5.0|50.0|||||||29.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
66|Massachusetts|Union Point-Abington-Rockland-Weymouth|False|30.8182||||3.0|7.0|5.0|5.0|38.0|||||||28.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
67|Massachusetts|Waltham|False|24.2089||50.75||3.0|7.0|5.0|5.0|24.0|||||||33.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
68|Massachusetts|Westborough|False|28.3451||52.8||3.0|7.0|5.0|5.0|40.0||||||||36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
69|Massachusetts|Worcester|False|22.8034|77.0|52.8|163.87|0.0|1.0|0.0|0.0|15.0|712.0|14.0|2.6|8.0|5.0|5.0|35.0|36632.0|2966.0|10.0|6.0|41.0|45.0|14.0|10.0|1.0|1.0|20.0|7.0|47.0
70|Michigan|Detroit-Windsor (Canada and Michigan)|False|25.9083|394.0||129.61|3.0|5.0|2.0|5.0|23.0|127.0|35.0|6.0|10.0|5.0|6.0|38.0|122115.0|6472.0|11.0|13.0|19.0|24.0|9.0|33.0|9.0|23.0|25.0|17.0|3.0
71|Michigan|Grand Rapids|False|18.8911|206.0||204.5|3.0|5.0|2.0|5.0|120.0|830.0|12.0|2.0|7.0|3.0|4.0|39.0|122115.0|6472.0|11.0|13.0|19.0|24.0|9.0|33.0|9.0|23.0|25.0|17.0|3.0
72|Minnesota|Minneapolis-Saint Paul|False|21.5102|132.0||187.56|4.0|6.0|5.0|6.0|23.0|85.0|41.0|6.5|14.0|5.0|7.0|58.0|138795.0|5250.0|3.0|16.0|10.0|36.0|6.0|3.0|5.0|2.0|33.0|16.0|31.0
73|Mississippi|At least one bid was submitted; details of it are unknown|False|0.0||||||||||||||||||48.0|46.0|41.0|1.0|47.0|44.0|46.0|46.0|43.0|44.0|1.0
74|Missouri|Kansas City|False|20.6463|182.0|38.5|188.21|3.0|2.0|2.0|4.0|25.0|516.0|18.0|3.2|7.0|3.0|4.0|29.0|131807.0|5749.0|22.0|43.0|11.0|17.0|18.0|46.0|22.0|15.0|23.0|20.0|11.0
75|Missouri|St. Louis|False|22.815|235.0||184.91|2.0|4.0|6.0|4.0|23.0|444.0|20.0|3.4|8.0|3.0|4.0|45.0|131807.0|5749.0|22.0|43.0|11.0|17.0|18.0|46.0|22.0|15.0|23.0|20.0|11.0
76|Missouri|Also submitted a statewide bid|False|0.0||||||||||||||||||22.0|43.0|11.0|17.0|18.0|46.0|22.0|15.0|23.0|20.0|11.0
77|Nebraska|Omaha|False|17.9383|214.0|82.0|193.86|1.0|2.0|2.0|2.0|8.0|864.0|11.0|2.1|6.0|3.0|4.0|40.0|94988.0|3717.0|13.0|20.0|26.0|13.0|27.0|10.0|33.0|5.0|6.0|41.0|13.0
78|Nevada|Las Vegas|False|24.5788|35.0|137.0|160.93|5.0|5.0|6.0|3.0|12.0|314.0|24.0|4.8|11.0|7.0|8.0|34.0|42582.0|2557.0|39.0|41.0|8.0|18.0|10.0|34.0|50.0|50.0|18.0|26.0|36.0
79|New Hampshire|Londonderry|False|27.7537|473.0|61.375||0.0|1.0|0.0|1.0|13.0||||||||16157.0|932.0|18.0|14.0|49.0|39.0|22.0|6.0|21.0|8.0|1.0|32.0|30.0
80|New Hampshire|Manchester|False|22.5473|277.0|61.428000000000004||0.0|1.0|0.0|1.0|12.0|935.0|10.0|2.0|6.0|4.0|4.0|48.0|16157.0|932.0|18.0|14.0|49.0|39.0|22.0|6.0|21.0|8.0|1.0|32.0|30.0
81|New Jersey|Atlantic City|False|18.9841||||0.0|1.0|0.0|1.0|19.0|594.0|16.0|4.1|10.0|9.0|10.0|48.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
82|New Jersey|Bayonne|False|32.4153||58.42||2.0||3.0|3.0|17.0|||||||79.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
83|New Jersey|Camden County|False|22.5962|95.0|||0.0|0.0|0.0|1.0|45.0|||||||47.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
84|New Jersey|Jersey City|False|34.9131|1.0|58.42|151.93|2.0|0.0|3.0|3.0|13.0|||||||71.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
85|New Jersey|New Brunswick|False|24.7603||57.0||2.0|0.0|3.0|3.0|27.0||||||||39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
86|New Jersey|Newark|True|33.8739|47.0|58.42|129.21|2.0|0.0|3.0|3.0|20.0|||||||65.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
87|New Jersey|Trenton|False|23.1638|74.0|56.111000000000004||0.0|0.0|0.0|0.0|12.0|||||||45.0|39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
88|New Jersey|West Windsor-Mercer County|False|0.0||||0.0|0.0|0.0|0.0|11.0||||||||39071.0|2970.0|32.0|26.0|46.0|45.0|31.0|13.0|18.0|4.0|42.0|9.0|41.0
89|New Mexico|El Paso-Borderplex Alliance|False|0.0|246.0|||||||||||||||69111.0|3377.0|42.0|32.0|16.0|19.0|44.0|42.0|27.0|45.0|45.0|38.0|22.0
90|New Mexico|Santa Teresa-San Jeronimo (New Mexico and Mexico)|False|24.7227||||||||||||||||||42.0|32.0|16.0|19.0|44.0|42.0|27.0|45.0|45.0|38.0|22.0
91|New York|Albany|False|18.6777|170.0|30.0|177.76|0.0|0.0|0.0|2.0|17.0|721.0|14.0|2.3|7.0|4.0|4.0|54.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
92|New York|Buffalo-Rochester|False|20.3619|164.0||179.9|0.0|0.0|0.0|2.0|10.0|582.0|16.0|3.1|9.0|6.0|6.0|43.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
93|New York|Mount Vernon|False|32.5769|153.0|58.375||4.0|0.0|5.0|6.0|37.0|||||||55.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
94|New York|New Rochelle|False|29.0729|51.0|58.375||4.0|0.0|5.0|6.0|32.0|||||||43.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
95|New York|New York City-Long Island-Hudson Valley|True|19.6822|6.0||137.77|4.0|0.0|5.0|6.0|58.0|3.0|91.0|17.4|19.0|11.0|13.0|85.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
96|New York|Syracuse-Utica|False|17.7653|149.0||148.67|0.0|3.0|0.0|2.0|11.0|1038.0|9.0|1.8|5.0|4.0|4.0|44.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
97|New York|Westchester|False|0.0||57.375||0.0|3.0|0.0|2.0|50.0|||||||44.0|113499.0|8063.0|38.0|39.0|45.0|47.0|33.0|19.0|8.0|5.0|45.0|2.0|49.0
98|North Carolina|Charlotte-York County|False|23.4693|79.0||189.27|1.0|6.0|1.0|5.0|17.0|358.0|23.0|3.8|13.0|6.0|7.0|27.0|106522.0|5667.0|5.0|7.0|20.0|9.0|15.0|28.0|6.0|32.0|8.0|9.0|19.0
99|North Carolina|Greensboro|False|19.680999999999997|157.0|78.5|187.36|0.0|2.0|0.0|2.0|17.0|1314.0|4.0|0.8|2.0|2.0|2.0|30.0|106522.0|5667.0|5.0|7.0|20.0|9.0|15.0|28.0|6.0|32.0|8.0|9.0|19.0
100|North Carolina|Hickory|False|18.3137||82.0||1.0|6.0|1.0|5.0|50.0|||||||30.0|106522.0|5667.0|5.0|7.0|20.0|9.0|15.0|28.0|6.0|32.0|8.0|9.0|19.0
101|North Carolina|Raleigh|True|20.9378|126.0|27.0|216.34|2.0|4.0|3.0|1.0|28.0|529.0|18.0|3.1|10.0|4.0|6.0|29.0|106522.0|5667.0|5.0|7.0|20.0|9.0|15.0|28.0|6.0|32.0|8.0|9.0|19.0
102|Nova Scotia, Canada|Halifax|False|||||||||||||||||||||||||||||
103|Ohio|Cincinnati-Dayton|False|21.4556|263.0||177.24|1.0|6.0|2.0|4.0|16.0|262.0|26.0|4.6|13.0|6.0|7.0|44.0|122974.0|6607.0|16.0|31.0|5.0|22.0|17.0|40.0|15.0|15.0|37.0|14.0|18.0
104|Ohio|Cleveland|False|23.6131|207.0|131.333|160.51|1.0|5.0|1.0|4.0|17.0|517.0|18.0|3.0|8.0|3.0|4.0|47.0|122974.0|6607.0|16.0|31.0|5.0|22.0|17.0|40.0|15.0|15.0|37.0|14.0|18.0
105|Ohio|Columbus|True|20.744|190.0|30.0|193.23|0.0|4.0|0.0|3.0|12.0|365.0|23.0|3.8|10.0|5.0|6.0|31.0|122974.0|6607.0|16.0|31.0|5.0|22.0|17.0|40.0|15.0|15.0|37.0|14.0|18.0
106|Ohio|Toledo-Maumee|False|19.048|308.0||141.98|0.0|1.0|1.0|1.0|20.0|933.0|12.0|2.0|5.0|4.0|4.0||122974.0|6607.0|16.0|31.0|5.0|22.0|17.0|40.0|15.0|15.0|37.0|14.0|18.0
107|Oklahoma|Oklahoma City|False|20.0344|117.0|82.0|197.22|1.0|0.0|1.0|1.0|13.0|684.0|14.0|2.7|7.0|5.0|5.0|16.0|112988.0|4151.0|43.0|38.0|32.0|20.0|42.0|48.0|44.0|43.0|12.0|36.0|5.0
108|Oklahoma|Tulsa|False|17.5919|134.0|137.0|188.68|0.0|1.0|1.0|1.0|14.0|957.0|10.0|1.8|5.0|4.0|3.0|23.0|112988.0|4151.0|43.0|38.0|32.0|20.0|42.0|48.0|44.0|43.0|12.0|36.0|5.0
109|Ontario, Canada|Detroit-Windsor (Canada and Michigan)|False|0.0|394.0||129.1|||||||||||||||||||||||||
110|Ontario, Canada|Hamilton|False|0.0|||169.25|1.0|6.0|1.0|4.0|38.0|||||||50.0|||||||||||||
111|Ontario, Canada|Ottawa-Gatineau|False|0.0|||200.21|||||16.0|||||||49.0|||||||||||||
112|Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|False|0.0||||||||||||||||||||||||||||
113|Ontario, Canada|Simcoe County|False|0.0||||0.0|0.0|0.0|0.0|25.0||||||||||||||||||||
114|Ontario, Canada|Toronto|True|0.0|||160.49|1.0|6.0|1.0|4.0|25.0|||||||78.0|||||||||||||
115|Oregon|Portland|False|23.1964|183.0|137.0|189.56|3.0|3.0|5.0|2.0|18.0|40.0|50.0|8.1|21.0|9.0|11.0|51.0|73529.0|4310.0|17.0|30.0|20.0|28.0|10.0|12.0|14.0|27.0|41.0|22.0|39.0
116|Pennsylvania|Delaware County|False|0.0||||0.0|1.0|0.0|1.0|31.0||||||||120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
117|Pennsylvania|Harrisburg|False|19.4761|111.0|||0.0|0.0|0.0|1.0|17.0|742.0|13.0|2.2|8.0|4.0|4.0||120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
118|Pennsylvania|Lehigh Valley|False|0.0||53.42||1.0|1.0|0.0|1.0|13.0||||||||120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
119|Pennsylvania|Philadelphia|True|31.5247|104.0|53.75|151.59|2.0|5.0|4.0|3.0|19.0|108.0|37.0|6.8|12.0|7.0|8.0|67.0|120446.0|7157.0|23.0|21.0|38.0|34.0|34.0|30.0|10.0|10.0|28.0|5.0|34.0
