|state|city|MSA|is_top_twenty|Total Graduates
123|Quebec, Canada|Greater Montreal|00000|False|0.0
124|Querétaro, Mexico|Details not known|00000|False|0.0
125|Rhode Island|East Providence|77200|False|825.0
126|Rhode Island|North Kingstown|77200|False|0.0
127|Rhode Island|Pawtucket-Central Falls|77200|False|0.0
128|Rhode Island|Providence|77200|False|825.0
129|Rhode Island|Richmond|77200|False|0.0
130|Rhode Island|Warwick|77200|False|171.0
131|Rhode Island|Woonsocket|77200|False|0.0
132|South Carolina|Greenville-Spartanburg|24860|False|582.0
133|Tennessee|Knoxville|28940|False|609.0
134|Tennessee|Memphis|32820|False|937.0
135|Tennessee|Nashville|34980|True|0.0
136|Texas|Austin|12420|True|2937.0
137|Texas|Dallas-Fort Worth|19124|True|2409.0
138|Texas|Frisco|00000|False|0.0
139|Texas|Houston|26420|False|3649.0
140|Texas|Milam County|00000|False|0.0
141|Utah|Submitted a statewide bid|00000|False|0.0
142|Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|False|1865.0
143|Virginia|Great Richmond|40060|?|1059.0
144|Virginia|Hampton Roads|47260|?|161.0
145|Virginia|Northern Virginia|00000|True|0.0
146|Washington|Pudget Sound Region|00000|False|0.0
147|Washington|Tacoma-Pierce County|42660|False|1522.0
148|Washington, DC|?|47894|True|0.0
149|Wisconsin|Madison|31540|False|2235.0
150|Wisconsin|Milwaukee|33340|False|1795.0
