|state|city|MSA|is_top_twenty|Average Commute Time
107|Oklahoma|Oklahoma City|36420|False|20.0344
108|Oklahoma|Tulsa|46140|False|17.5919
109|Ontario, Canada|Detroit-Windsor (Canada and Michigan)|00000|False|0.0
110|Ontario, Canada|Hamilton|00000|False|0.0
111|Ontario, Canada|Ottawa-Gatineau|00000|False|0.0
112|Ontario, Canada|Sault Ste. Marie (Canada and Michigan)|00000|False|0.0
113|Ontario, Canada|Simcoe County|00000|False|0.0
114|Ontario, Canada|Toronto|00000|True|0.0
115|Oregon|Portland|38900|False|23.1964
116|Pennsylvania|Delaware County|34620|False|0.0
117|Pennsylvania|Harrisburg|25420|False|19.4761
118|Pennsylvania|Lehigh Valley|10900|False|0.0
119|Pennsylvania|Philadelphia|37964|True|31.5247
120|Pennsylvania|Pittsburgh|38300|True|22.4373
121|Pennsylvania|Northeast Pennsylvania|00000|False|22.2509
122|Puerto Rico|Has declined to reveal details|00000|False|0.0
123|Quebec, Canada|Greater Montreal|00000|False|0.0
124|Querétaro, Mexico|Details not known|00000|False|0.0
125|Rhode Island|East Providence|77200|False|21.805
126|Rhode Island|North Kingstown|77200|False|0.0
127|Rhode Island|Pawtucket-Central Falls|77200|False|28.3662
128|Rhode Island|Providence|77200|False|21.2355
129|Rhode Island|Richmond|77200|False|0.0
130|Rhode Island|Warwick|77200|False|23.3193
131|Rhode Island|Woonsocket|77200|False|25.3771
132|South Carolina|Greenville-Spartanburg|24860|False|16.1329
133|Tennessee|Knoxville|28940|False|19.0675
134|Tennessee|Memphis|32820|False|21.1414
135|Tennessee|Nashville|34980|True|0.0
136|Texas|Austin|12420|True|21.8013
137|Texas|Dallas-Fort Worth|19124|True|24.8733
138|Texas|Frisco|00000|False|26.4261
139|Texas|Houston|26420|False|25.5562
140|Texas|Milam County|00000|False|33.1392
141|Utah|Submitted a statewide bid|00000|False|0.0
142|Virginia|Alexandria-Arlington-Loudoun-Fairfax (Northern Virginia)|47894|False|29.3015
143|Virginia|Great Richmond|40060|?|20.9744
144|Virginia|Hampton Roads|47260|?|21.5932
145|Virginia|Northern Virginia|00000|True|0.0
146|Washington|Pudget Sound Region|00000|False|0.0
147|Washington|Tacoma-Pierce County|42660|False|25.2935
148|Washington, DC|?|47894|True|0.0
149|Wisconsin|Madison|31540|False|18.5355
150|Wisconsin|Milwaukee|33340|False|21.7242
