state,city,is_top_twenty_x,InfrastructureRank,Growth and Economy,Prosperity,Human Capital,Average Commute Time,diversity_rank,college_score,QoL,Seattle,New York,San Francisco,Washington DC,Travel Time,Hours Spent in Congestion,PEAK,Daytime,Transit Score,Road Length [Miles],Highway Length [Miles],Technology and Innovation,Business Friendliness,Total Graduates,StateTax,LocalSalesTax
Massachusetts,Gardner – Massachusetts,FALSE,83,84,46,67,24.41,77,1173,164.13,3,7,5,5,74,31,21,7,39,202,50,35,170,222,6.25,0
Massachusetts,Holyoke – Massachusetts,FALSE,83,84,46,67,19.3098,52,417,169.41,3,7,5,5,91,31,21,7,55,203,50,35,170,85,6.25,0
Massachusetts,Lawrence – Massachusetts,FALSE,83,84,46,67,27.2451,309,1109,180,3,7,5,5,42,31,21,7,36,204,50,35,170,321,6.25,0
Massachusetts,Lee – Massachusetts,FALSE,83,84,46,67,16.2887,309,309,180,3,7,5,5,115,31,21,7,38,205,50,35,170,0,6.25,0
Massachusetts,Leominster – Massachusetts,FALSE,83,84,46,67,26.4096,77,1173,163.87,3,7,5,5,64,31,21,7,38,206,50,35,170,129,6.25,0
Massachusetts,Lowell – Massachusetts,FALSE,83,84,46,67,24.6521,30,1109,177.79,3,7,5,5,42,25,14,6,37,207,50,35,170,1603,6.25,0
Massachusetts,Lynn – Massachusetts,FALSE,83,84,46,67,28.7144,22,1269,177.79,3,7,5,5,22,31,21,7,40,208,50,35,170,0,6.25,0
Massachusetts,Marlborough – Massachusetts,FALSE,83,84,46,67,27.059,77,1194,163.87,3,7,5,5,40,31,21,7,41,209,50,35,170,44,6.25,0
Massachusetts,New Bedford – Massachusetts,FALSE,83,84,46,67,23.594,309,615,177.08,3,7,5,5,66,8,5,4,33,210,50,35,170,186,6.25,0
Massachusetts,Northborough – Massachusetts,FALSE,83,84,46,67,26.5026,309,1472,180,3,7,5,5,42,31,21,7,38,211,50,35,170,0,6.25,0
Massachusetts,Peabody – Massachusetts,FALSE,83,84,46,67,25.6633,19,1109,177.79,3,7,5,5,33,31,21,7,43,212,50,35,170,75,6.25,0
Massachusetts,Pittsfield – Massachusetts,FALSE,83,84,46,67,17.394,309,309,180,3,7,5,5,33,31,21,7,38,213,50,35,170,56,6.25,0
Massachusetts,Quincy – Massachusetts,FALSE,83,84,46,67,33.4977,105,1257,177.39,3,7,5,5,28,31,21,7,51,214,50,35,170,75,6.25,0
Massachusetts,Somerville – Massachusetts,FALSE,83,84,46,67,28.5726,309,1194,200.97,3,7,5,5,20,31,21,7,63,215,50,35,170,563,6.25,0
Massachusetts,Taunton – Massachusetts,FALSE,83,84,46,67,29.4585,41,1347,177.2,3,7,5,5,50,31,21,7,29,216,50,35,170,8,6.25,0
Massachusetts,Union Point – Massachusetts,FALSE,83,84,46,67,30.8182,309,1257,180,3,7,5,5,38,31,21,7,28,217,50,35,170,0,6.25,0
Massachusetts,Waltham – Massachusetts,FALSE,83,84,46,67,24.2089,19,1194,177.79,3,7,5,5,24,31,21,7,33,218,50,35,170,722,6.25,0
Massachusetts,Westborough – Massachusetts,FALSE,83,84,46,67,28.3451,309,1472,180,3,7,5,5,40,31,21,7,38,219,50,35,170,0,6.25,0
Michigan,Grand Rapids – Michigan,FALSE,81,78,12,16,18.8911,206,0,204.5,3,5,2,5,120,12,7,3,39,3815,124,40,5,300,6,0
Michigan,Detroit Windsor – Michigan,FALSE,139,44,19,81,25.9083,394,218,129.61,3,5,2,5,23,35,10,5,38,33639,514,44,95,1300,6,0
Minnesota,Minneapolis – Minnesota,FALSE,13,56,18,74,21.5102,132,175,187.56,4,6,5,6,23,41,14,5,58,17257,686,44,86,4579,6.88,0.9
Missouri,St. Louis – Missouri,FALSE,48,63,54,33,22.815,235,223,184.91,2,4,6,4,23,20,8,3,45,13286,388,42,7,736,4.23,4.45
